Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,787.0,18.0,29.0,787.0,0.1,20.00800000000001,0.0,0.0,76.31851482391357,,,,,,,,,,,,,,,,,,,,,7.8851306453375205,7.000816490359885,19.818949290917754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,821.0,19.0,34.0,821.0,0.1,27.006000000000007,0.0,0.0,79.81239604949951,,,,,,,,,,,,,,,,,,,,,11.810463827139102,9.020754007976107,26.657733038220684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,859.0,20.0,38.0,859.0,0.1,30.00700000000001,0.0,0.0,83.67191553115845,,,,,,,,,,,,,,,,,,,,,12.903069116994743,10.004807174852148,29.57580540856593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,46.0,1.0,46.0,905.0,0.1,36.00899999999998,0.0,0.0,225.3885781764984,,,,,,,,,,,,,,,,,,,,,15.0871226159139,11.95649729824536,35.38572843080114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,125.0,2.0,79.0,984.0,0.1,70.00800000000004,0.0,0.0,233.40789103507996,,,,,,,,,,,,,,,,,,,,,31.607050330604878,21.526646791205597,67.64626791344119,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,169.0,3.0,44.0,1028.0,0.1,35.00799999999998,0.0,0.0,237.94742012023926,,,,,,,,,,,,,,,,,,,,,14.9457562178966,11.577229859251984,34.419190688599066,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,263.0,4.0,94.0,1122.0,0.1,78.01500000000007,0.0,0.0,247.25735569000244,,,,,,,,,,,,,,,,,,,,,32.762214371931535,24.635180598039025,75.0854476589086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,298.0,5.0,35.0,1157.0,0.1,28.006000000000007,0.0,0.0,251.20799589157104,,,,,,,,,,,,,,,,,,,,,12.290263267217338,9.31775308295952,27.631075305182463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,336.0,6.0,38.0,1195.0,0.1,23.014000000000017,0.0,0.0,255.19106721878052,,,,,,,,,,,,,,,,,,,,,7.819653345475371,8.035906361035403,22.762355120758336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,382.0,7.0,46.0,1241.0,0.1,37.00799999999998,0.0,0.0,259.9457221031189,,,,,,,,,,,,,,,,,,,,,15.897297775077153,12.167600728131875,36.349386726412554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,485.0,8.0,103.0,1344.0,0.1,64.03799999999998,0.0,0.0,270.30520153045654,,,,,,,,,,,,,,,,,,,,,28.051898537649343,16.676939037706617,61.27113545038744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,529.0,9.0,44.0,1388.0,0.1,31.012000000000015,0.0,0.0,274.9249680042267,,,,,,,,,,,,,,,,,,,,,11.86450129238371,10.58824809057077,30.5510334590197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,557.0,10.0,28.0,1416.0,0.1,21.006000000000007,0.0,0.0,278.025755405426,,,,,,,,,,,,,,,,,,,,,8.94246261653461,7.212780890375597,20.79718461878999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,617.0,11.0,60.0,1476.0,0.1,52.006999999999984,0.0,0.0,284.23288226127625,,,,,,,,,,,,,,,,,,,,,23.431618849798394,16.362410335840703,50.70245708071646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,643.0,12.0,26.0,1502.0,0.1,18.00700000000001,0.0,0.0,287.16097235679626,,,,,,,,,,,,,,,,,,,,,7.231694506719734,6.333190086577618,17.854667423003875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,680.0,13.0,37.0,1539.0,0.1,26.010000000000012,0.0,0.0,291.07435512542725,,,,,,,,,,,,,,,,,,,,,10.109845136061342,8.957754194000255,25.687284611904936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,729.0,14.0,49.0,1588.0,0.1,41.006999999999984,0.0,0.0,296.17280888557434,,,,,,,,,,,,,,,,,,,,,18.165230616529374,13.226368518091096,40.19725801856917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,792.0,15.0,63.0,1651.0,0.1,55.006999999999984,0.0,0.0,302.607364654541,,,,,,,,,,,,,,,,,,,,,24.865693522006918,17.20607850589469,53.54750276614308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,828.0,16.0,36.0,1687.0,0.1,25.010000000000012,0.0,0.0,306.40956449508667,,,,,,,,,,,,,,,,,,,,,9.65007424186046,8.643090429692087,24.71199660851345,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,878.0,17.0,50.0,1737.0,0.1,42.006999999999984,0.0,0.0,311.73942852020264,,,,,,,,,,,,,,,,,,,,,18.64424407819459,13.51454678861347,41.15706076055061,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
