Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,865.0,18.0,70.0,865.0,0.1,43.507,0.0,0.0,84.46462845802307,,,,,,,,,,,,,,,,,,,,,15.054391238062424,14.005186983885586,42.538226528165424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,912.0,19.0,47.0,912.0,0.1,18.411000000000033,0.0,0.0,89.30174326896667,,,,,,,,,,,,,,,,,,,,,4.6393717445087175,5.825006576812672,18.22939007877557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,945.0,20.0,33.0,945.0,0.1,16.207000000000008,0.0,0.0,92.72535014152527,,,,,,,,,,,,,,,,,,,,,4.90410089093646,5.530099674326426,16.07730319969529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,47.0,1.0,47.0,992.0,0.1,27.40700000000002,0.0,0.0,239.25727725028992,,,,,,,,,,,,,,,,,,,,,9.05387470630773,9.221413977193059,27.035511877045753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,88.0,2.0,41.0,1033.0,0.1,18.108000000000025,0.0,0.0,243.5795328617096,,,,,,,,,,,,,,,,,,,,,5.0626606945244355,5.905753166450548,17.93628554633162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,124.0,3.0,36.0,1069.0,0.1,20.206000000000017,0.0,0.0,247.4701805114746,,,,,,,,,,,,,,,,,,,,,6.662873737486165,6.921568266933743,20.006128796915537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,253.0,4.0,129.0,1198.0,0.1,99.106,0.0,0.0,259.85629177093506,,,,,,,,,,,,,,,,,,,,,41.910398696265624,28.409766869859993,93.88723915926111,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,289.0,5.0,36.0,1234.0,0.1,20.206000000000017,0.0,0.0,263.46780252456665,,,,,,,,,,,,,,,,,,,,,6.662873737486165,6.921568266933743,20.006128796915537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,355.0,6.0,66.0,1300.0,0.1,35.407,0.0,0.0,269.85310554504395,,,,,,,,,,,,,,,,,,,,,13.339476950740462,10.48114690271496,34.59575142835642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,394.0,7.0,39.0,1339.0,0.1,16.108000000000008,0.0,0.0,273.7866027355194,,,,,,,,,,,,,,,,,,,,,4.377293683804743,5.208216506168204,15.96920799310985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,446.0,8.0,52.0,1391.0,0.1,30.30700000000002,0.0,0.0,278.93250608444214,,,,,,,,,,,,,,,,,,,,,10.660851615894066,9.824735712834947,29.812230364472082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,476.0,9.0,30.0,1421.0,0.1,12.706999999999994,0.0,0.0,282.0265157222748,,,,,,,,,,,,,,,,,,,,,3.604394079139698,4.263295837684462,12.62410376104414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,512.0,10.0,36.0,1457.0,0.1,15.906999999999993,0.0,0.0,285.94376373291016,,,,,,,,,,,,,,,,,,,,,4.57366103878674,5.234076440937137,15.773880189101696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,572.0,11.0,60.0,1517.0,0.1,37.605999999999995,0.0,0.0,291.8953881263733,,,,,,,,,,,,,,,,,,,,,14.58307182243209,11.743165980100603,36.80458806219039,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,661.0,12.0,89.0,1606.0,0.1,54.20899999999999,0.0,0.0,300.62194752693176,,,,,,,,,,,,,,,,,,,,,21.533623846357237,16.59334271782048,52.397249579583786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,800.0,13.0,139.0,1745.0,0.1,82.506,0.0,0.0,314.0468895435333,,,,,,,,,,,,,,,,,,,,,33.158335670213184,23.70008687595224,78.053019327476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,846.0,14.0,46.0,1791.0,0.1,25.409000000000024,0.0,0.0,318.55143451690674,,,,,,,,,,,,,,,,,,,,,7.973373934979383,8.600260293416712,25.09238447555759,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,898.0,15.0,52.0,1843.0,0.1,30.108000000000025,0.0,0.0,323.84111428260803,,,,,,,,,,,,,,,,,,,,,9.73791754830893,10.105103532332866,29.660920467502475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,933.0,16.0,35.0,1878.0,0.1,19.705000000000016,0.0,0.0,327.4413785934448,,,,,,,,,,,,,,,,,,,,,6.597262028393063,6.718590902752444,19.51310252094562,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,975.0,17.0,42.0,1920.0,0.1,13.70799999999999,0.0,0.0,331.8587920665741,,,,,,,,,,,,,,,,,,,,,3.368283418315373,4.146324238026759,13.59370591455395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1033.0,18.0,58.0,1978.0,0.1,41.10699999999999,0.0,0.0,337.5374159812927,,,,,,,,,,,,,,,,,,,,,15.58199407437222,13.669726109571332,40.28377160312107,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1094.0,19.0,61.0,2039.0,0.1,18.510000000000044,0.0,0.0,343.57495045661926,,,,,,,,,,,,,,,,,,,,,4.272305742111497,5.2246792094784675,18.28594294968763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1129.0,20.0,35.0,2074.0,0.1,15.406999999999993,0.0,0.0,347.04508686065674,,,,,,,,,,,,,,,,,,,,,4.3960228811515885,5.0969535265671855,15.283691298064529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,99.0,1.0,99.0,2173.0,0.1,52.006000000000036,0.0,0.0,528.9234299659729,,,,,,,,,,,,,,,,,,,,,19.611283885669142,14.080409930350221,50.164762255066634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,170.0,2.0,71.0,2244.0,0.1,38.909000000000006,0.0,0.0,536.1169576644897,,,,,,,,,,,,,,,,,,,,,11.854346281007452,12.654620983301896,38.14359045136072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
